subject,courseNumber,courseTitle,description
CBNS,124,SYSTEMS NEUROSCIENCE,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CBNS 106 with a grade of C- or better;  or consent of instructor. A study of the structure and function of motor and sensory systems in vertebrate and invertebrate nervous systems.     Cross-listed with PSYC 124."
CBNS,165,STEM CELL BIOLOGY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CBNS 101 or consent of instructor. An introduction to various stem cells, their characteristics, and their niches. Explores the molecular concepts of stem cell self-renewal and tissue and organ development. Illustrates their application in therapies and explains routine methods used in stem cell biology. Reviews current governmental regulations and ethics."
CBNS,190,SPECIAL STUDIES,"1 to 4 Units, Individual Study, 3 to 12 hours. Prerequisite(s): upper-division standing; consent of instructor and department chair. Individual study to meet special curricular needs. Grading basis to be determined in consultation with the instructor and department chair.  Course is repeatable to a maximum of 12 units."
CBNS,194,INDEPENDENT READING,"1 to 2 Units, Individual Study, 3 to 6 hours. Prerequisite(s): consent of instructor. Individual reading under faculty direction. Course is repeatable to a maximum of 4 units."
CBNS,197,RESEARCH FOR UNDERGRADUATES,"1 to 4 Units,  Research, 3 to 12 hours. Prerequisite(s): either sophomore standing and one course in Cell Biology and Neuroscience or upper-division standing; consent of instructor An introduction to laboratory research conducted under faculty supervision. Students who submit a written report or give an oral presentation receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable."
CBNS,198I,INDIVIDUAL INTERNSHIP,"1 to 12 Units, Internship, 2 to 24 hours; written work, 1 to 12 hours. Prerequisite(s): consent of instructor. Explores career development within the context of cell, molecular, and developmental biology or health sciences.  Includes supervision by an off-campus sponsor and an on-campus faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 12 units."
CBNS,199,SENIOR RESEARCH,"1 to 4 Units,  Research, 3 to 12 hours. Prerequisite(s): senior standing; consent of instructor. Original research undertaken under the direction of a faculty member. Students who submit a written report or give an oral presentation receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable."
CBNS,240,"SPECIAL TOPICS IN SCIENTIFIC RIGOR IN MOLECULAR, CELL AND SYSTEMS BIOLOGY RESEARCH","1 or 2  Units, Seminar, 1 or 2 hours. Prerequisite(s):  graduate standing; and consent of instructor. Discusses current research and publications focused on rationale, scientific premise, rigor in experimental design, and statistical methods in the area of specialization of faculty.  Provides sustained discipline-specific training in hypothesis testing, critical thinking, bioethics, and professionalism.  Content varies accordingly. Intended for Life Science majors.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 56 units. Section information text: 1 or 2  Units, Seminar, 1 or 2 hours. Prerequisite(s):  graduate standing; or consent of instructor. Discusses current research and publications focused on rationale, scientific premise, rigor in experimental design, and statistical methods in the area of specialization of faculty.  Provides sustained discipline-specific training in hypothesis testing, critical thinking, bioethics, and professionalism.  Content varies accordingly. Intended for Life Science majors.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 56 units."
CMDB,200,CELL BIOLOGY,"4 Units, Lecture, 3 hours; seminar, 1 hour. Prerequisite(s): BCH 110A or BCH 110B or equivalent (may be taken concurrently); BIOL 102 or equivalent; BIOL 113 or BIOL 114 or CBNS 101 or equivalent; graduate standing. An examination of the structure and function of eukaryotic cells and their components with emphasis on the key experiments that provide the foundation for our current knowledge. Covers topics such as cell membranes, intracellular trafficking, cell-to-cell interactions, motility, and the cytoskeleton. Cross-listed with BIOL 200."
CMDB,209,RIBONUCLEIC ACID (RNA) BIOLOGY,"3 Units, Lecture, 2 hours; discussion, 1 hour. Prerequisite(s): BIOL 107A or CBNS 101 or equivalent; graduate standing; or consent of instructor. A comprehensive overview of the multiple functions of ribonucleic acid (RNA) in the cell. Topics include mRNA, rRNA, and tRNA function and metabolism; RNA catalysis and the ""RNA world""; eukaryotic and bacterial non-coding RNAs; and bacterial riboswitches. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor. Cross-listed with BCH 209, and GEN 209."
CMDB,250,"SPECIAL TOPICS IN CELL, MOLECULAR, AND DEVELOPMENTAL BIOLOGY","1 to 2 Units, Seminar, 1 to 2 hours. Prerequisite(s): graduate standing. Oral presentations and intensive small-group discussion of selected topics in the area of special competence of each participant. Content emphasizes recent advances in the topic area and varies accordingly. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CMDB,255,STEM CELL BIOLOGY,"1 Unit, Discussion, 10 hours per quarter. Prerequisite(s): graduate standing or consent of instructor. Presents research data to an interdisciplinary group of stem cell biologists.  Covers presentation skills and answering questions about research data.  Fosters discussion of stem cell biology. Students who present a seminar receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable."
CMDB,257,"SEMINAR IN CELL, MOLECULAR, AND DEVELOPMENTAL BIOLOGY","1 Unit, Seminar, 1 hour. Prerequisite(s): graduate standing. Presentations by visiting scholars, CMDB faculty, and CMDB students on current research in cell, molecular, and developmental biology. Students who present a seminar receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable to a maximum of 30 units."
CMDB,290,DIRECTED STUDIES,"1 to 6 Units, Individual Study, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor and graduate advisor. Individual study, directed by a faculty member, of specially selected topics in cell, molecular, and developmental biology. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CMDB,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours. Prerequisite(s): graduate standing. Research and experimental studies conducted under the supervision of a faculty member on specially selected topics in cell, molecular, and developmental biology. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CMDB,299,RESEARCH FOR THE THESIS OR DISSERTATION,"1 to 12 Units, Research, 3 to 36 hours. Prerequisite(s): graduate standing. Original research in an area selected for the advanced degree. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CHE,100,ENGINEERING THERMODYNAMICS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHEM 001C, MATH 046 (or concurrent enrollment), PHYS 040B or PHYS 040HB; or consent of instructor. An introduction to engineering thermodynamics with emphasis on chemical and environmental engineering systems. Topics include concepts of equilibrium, temperature, and reversibility; the first law and concept of energy; and the second law and concept of entropy. Also examines equations of state, thermodynamic properties, and engineering applications used in the analysis and design of closed and open systems. Credit is awarded for only one of CHE 100 or ME 100A."
CHE,105,INTRODUCTION TO NANOSCALE ENGINEERING,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CEE 135,  MATH 010A, PHYS 040C or PHYS 040HC; or consent of instructor. An introduction to nanotechnology engineering and its various applications.  Includes electromagnetic waves and quantum mechanics; synthesis of nanostructures; assembly of nanostructures; and traditional and nontraditional methods of nanolithography and interactions between electronic and optical properties. Also covers organic heterostructures, nanotubes, and quantum computing."
CHE,110B,CHEMICAL PROCESS ANALYSIS,"3 Units, Lecture, 2 hours; discussion, 1 hour. Prerequisite(s): CHE 110A with a grade of ""C-"" or better; or consent of instructor. Applies principles of conservation of energy to chemical process systems. Topics include the development of steady-state and unsteady-state energy balances as well as combined mass and energy balances in industrial processes."
CHE,118,PROCESS DYNAMICS AND CONTROL,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHE 117, CHE 122, ENGR 118; or consent of instructor. Fundamentals of process control. Feedback and feedforward control of dynamic processes. Frequency response analysis. Introduction to multivariable control."
CHE,120,MASS TRANSFER,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHE 114 with a grade of ""C-"" or better, MATH 046; or consent of instructor. Introduction to analysis of mass transfer in systems of interest to chemical and environmental engineering practice. Explores transport of matter by diffusion, free, and forced convection."
CHE,131,ELECTROCHEMICAL ENGINEERING,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHE 100, CHE 120, CHE 122; or consent of instructor. Explores role of thermodynamics, charge transfer kinetics, and mass transfer on behavior of electrochemical systems.  Includes cell thermodynamics, faradaic and non-faradaic rate processes, ionic transport, nucleation and growth theories.  Shows applications to chemical sensors, batteries, corrosion, and thin film deposition.  Provides in-class demonstrations to illustrate concepts."
CHE,160C,CHEMICAL ENGINEERING LABORATORY,"3 Units, Laboratory, 6 hours; discussion, 1 hour. Prerequisite(s): CHE 122; CHE 117, may be taken concurrently; CHE 118, may be taken concurrently;  or consent of instructor. Consists of laboratory exercises in chemical engineering. Includes experiments and simulations in separation processes and in process control. Emphasizes experimental design, analysis of results, and preparation of engineering reports."
CHE,175A,CHEMICAL PROCESS DESIGN,"4 Units, Lecture, 1 hour; laboratory, 6 hours; consultation, 1 hour. Prerequisite(s): CHE 117, CHE 122, MATH 010B, senior standing in Chemical Engineering; CHE 118 (may be taken concurrently). Introduction to chemical process plant design procedures through economic analysis and actual design of chemical processes. Addresses practical applications to current chemical and biochemical processes and economic constraints. Concentrates on general design considerations and economic principles. Graded In Progress (IP) until CHE 175A and CHE 175B are completed, at which time a final, letter grade is assigned."
CHE,190,SPECIAL STUDIES,"1 to 5 Units, Individual Study, 3 to 15 hours. Prerequisite(s): upper-division standing; consent of instructor and department chair. Individual study to meet special curricular needs. Course is repeatable to a maximum of 9 units."
CEE,010,INTRODUCTION TO CHEMICAL AND ENVIRONMENTAL ENGINEERING,"1 Unit, Lecture, 1 hour. Prerequisite(s): none. An introduction to chemical and environmental engineering for engineering and nonengineering majors. Aims to enrich an appreciation of chemical, biochemical, and environmental engineering. Discusses typical careers, key applications, latest developments and the need to engage in lifelong learning in the field. Graded Satisfactory (S) or No Credit (NC)."
CEE,125,ANALYTICAL METHODS FOR CHEMICAL AND ENVIRONMENTAL ENGINEERS,"4 Units, Lecture, 2 hours; laboratory, 6 hours. Prerequisite(s): CEE 010 (CEE 010 may be taken concurrently); CHEM 001C and CHEM 01LC; CHEM 008A and CHEM 08LA or CHEM 08HA and CHEM 08HLA; PHYS 040C or PHYS 040HC.  Examines chromatographic separations, mass spectrometry, atomic absorption, and electrophoresis. Presents total carbon analysis as an introduction to analytical methods and their use in the chemical and environmental engineering fields."
CEE,140A,BIOMATERIALS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIEN 101 or BCH 100, MATH 010B, PHYS 040B or PHYS 040HB; or consent of instructor. Covers the principles of materials science and engineering, with attention to topics in bioengineering. Explores atomic structures, hard treatment, fundamentals of corrosion, manufacturing processes, and characterization of materials.
 Cross-listed with BIEN140A."
CEE,159,DYNAMICS OF BIOLOGICAL SYSTEMS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 005B, MATH 046; or consent of instructor.  Covers engineering principles for the analysis and modeling of biological phenomena. Topics include molecular diffusion and transport, membranes, ligand-bioreceptor interactions, enzyme kinetics, and dynamics of metabolic pathways. Examines the application of these principles to the design of bioreactors, bioassays, drug delivery systems, and artificial organs. Cross-listed with BIEN 159."
CEE,197,RESEARCH FOR UNDERGRADUATES,"1 to 4 Units,  Research, 3 to 12 hours. Prerequisite(s): consent of instructor and Chemical and Environmental Engineering undergraduate program advisor. Directed research on a topic relevant to chemical and environmental engineering.  Requires a final written report. Course is repeatable to a maximum of 8 units."
CEE,202,TRANSPORT PHENOMENA,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHE 114, CHE 116, CHE 120, ENGR 118; graduate standing; or consent of instructor. For CEE 202 online section: enrollment in the Online Master-in-Science in Engineering program. Topics include transport phenomena, potential flow, and boundary layer theories with applications to simultaneous heat, momentum, and mass transfer. Introduces numerical techniques used to solve advanced transport phenomena problems."
CEE,204,ADVANCED KINETICS AND REACTION ENGINEERING,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): graduate standing or consent of the instructor. For CEE 204 online section: enrollment in the Online Master-of-Science in Engineering program. Emphasizes kinetics and mechanisms of heterogeneous reactions in different types of reactors. Specific topics include gas-solid noncatalytic reactions; catalytic surfaces and catalyst characterization; and adsorption, diffusion, reaction, and heat transfer in porous catalysts."
CEE,207,AIR QUALITY MODELING,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CEE 202, CEE 206, ENVE 134;  graduate standing;  or consent of instructor. Prepares for research and entry- level positions that require knowledge of empirical and deterministic air quality modeling applications. Covers empirical model derivations and applications, box modeling, chemical transport modeling, model evaluation, model sensitivity analysis, and data visualization."
CEE,226,BIOLOGICAL UNIT PROCESSES,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHE 120, ENVE 142; graduate standing; or consent of instructor. CEE 226 online section: enrollment in the Online Master-in-Science in Engineering program. Theory and design of biological unit processes used in environmental engineering. Suspended growth processes, attached growth processes, digestion processes, and nutrient removal systems are covered. Credit is not awarded for CEE 226 if already awarded for  ENVE 121."
CEE,243,ADVANCED WATER TREATMENT TECHNOLOGIES,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): graduate standing consent of instructor. For the CEE 243 online section; enrollment in the Online Master-in-Science in Engineering program;  graduate standing;  or consent of instructor. Fundamentals of advanced water treatment processes emphasizing membrane separation, advanced oxidation processes, and the application of nanomaterials in environmental engineering applications."
CEE,249,INTEGRATION OF COMPUTATIONAL AND EXPERIMENTAL BIOLOGY,"4 Units, Lecture, 3 hours; laboratory, 3 hours. Prerequisite(s): BIOL 005B; MATH 010B, MATH 046, PHYS 040C or PHYS 040HC; graduate standing. BIEN 249/CEE 249 online section: enrollment in the Online Master-in-Science in Engineering program. A multidisciplinary introduction to computational methods used to analyze experimental biological data. Introduction to mathematical concepts needed to understand protein structure and dynamics, protein-protein interactions (structures and networks), gene regulatory networks, signal transduction networks, metabolic networks, and kinetic modeling of cellular processes.  Also covers techniques used to derive experimental data. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor. Cross-listed with BIEN 249."
CEE,250,SPECIAL TOPICS IN CHEMICAL AND ENVIRONMENTAL ENGINEERING,"1 or 2 Units, Seminar, 1 or 2 hours. Prerequisite(s): graduate standing. Seminar in selected topics in chemical and environmental engineering presented by graduate students, staff, faculty, and invited speakers. Students who present a seminar receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable."
CEE,256,SPECIAL TOPICS IN PARTICULATE MEASUREMENT AND AIR QUALITY,"1 or 2 Units, Seminar, 1 or 2 hours. Prerequisite(s): graduate standing. Topics include atmospheric chemistry, aerosol chemistry and physics, and measurement techniques used for source and ambient sampling of gases and aerosols. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of assigned extra work or examination. Course is repeatable."
CEE,258,BIOSENSING AND BIODETOXIFICATION,"1 or 2 Units, Seminar, 1 or 2 hours. Prerequisite(s): graduate standing. Involves oral presentations and intensive small-group discussions of current literature on biological detoxification of hazardous chemicals and biological-based sensors for environmental, clinical, food quality, and process monitoring. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CEE,266,SPECIAL TOPICS IN BIOLOGICAL CONVERSION OF BIOMASS,"1 or 2 Units, Seminar, 1 hour; individual study, 0 to 3 hours. Prerequisite(s): graduate standing. Consists of oral presentations and small group discussions of current and historic literature on biological conversion of biomass to fuels and chemicals. Students who make presentations receive credit for 2 units; other students receive credit for 1 unit.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CEE,286,COLLOQUIUM IN CHEMICAL AND ENVIRONMENTAL ENGINEERING,"1 Unit, Colloquium, 1 hour. Prerequisite(s): graduate standing. Lectures on a current research topic in chemical engineering, environmental engineering, and other related fields presented by faculty members and visiting scientists. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CEE,290,DIRECTED STUDIES,"1 to 6 Units, Individual Study, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor and graduate advisor. Individual study, directed by a faculty member, of selected topics in chemical and environmental engineering. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 9 units."
CEE,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor. Research conducted under the supervision of a faculty member on selected problems in chemical and environmental engineering. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CEE,298I,INDIVIDUAL INTERNSHIP,"1 to 12 Units, Written Work, 1 to 12 hours; internship, 2 to 24 hours. Prerequisite(s): graduate standing; consent of instructor Individual apprenticeship in chemical and environmental engineering with an approved professional individual or organization, and a faculty member. A written report is required. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 16 units."
CEE,299,RESEARCH FOR THE THESIS OR DISSERTATION,"1 to 12 Units, Research, 3 to 36 hours. Prerequisite(s): graduate standing; consent of instructor. Research in chemical and environmental engineering for the M.S. thesis or Ph.D. dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
CEE,302,TEACHING PRACTICUM,"1 to 4 Units, Seminar, 3 to 12 hours. Prerequisite(s): appointment as a teaching assistant or associate in Chemical and Environmental Engineering. Topics include effective teaching methods such as those involved in leading discussion sections, preparing and grading examinations, and student-instructor relations in lower- and upper-division Chemical Engineering and Environmental Engineering courses. Required each quarter of teaching assistants and associates in Chemical and Environmental Engineering. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 12 units."
CHEM,001A,GENERAL CHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): concurrent enrollment in   CHEM 01LA; MATH 005A with a grade of C- or better or MATH 006A with a grade of C- or better or CHEM 001W with a grade of S or better or CHEM 001 with a grade of S or better or MATH 007A with a grade of C- or better or MATH 007B with a grade of C- or better or MATH 009A with a grade of C- or better or MATH 009B with a grade of C- or better or MATH 006B with a grade of C- or better or MATH 009C with a grade of C- or better; or a score of 3, 4, or 5 on the College Board Advanced Placement Chemistry Examination or Advanced Placement Calculus Examination or a passing score on the California Chemistry Diagnostic Test or a score on the Mathematics Advisory Exam sufficient for placement in MATH 007A or MATH 009A. An introduction to the basic principles of chemistry. Instructional methods are either in-person lectures or virtual online lectures.     Credit is awarded for one of the following  CHEM 001A,  CHEM 002A, or CHEM 01HA."
CHEM,001B,GENERAL CHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): concurrent enrollment in   CHEM 01LB; CHEM 001A with a grade of C- or better, CHEM 01LA with a grade of C- or better or CHEM 01HA with a grade of C- or better, CHEM 1HLA with a grade of C- or better or CHEM 002A with a grade of C- or better, CHEM 02LA with a grade of C- or better. An introduction to the basic principles of chemistry. Provides lectures either in person or in a virtual online environment, depending on section offerings.     Credit is awarded for one of the following  CHEM 001B,  CHEM 002B, or CHEM 01HB."
CHEM,001C,GENERAL CHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): concurrent enrollment in   CHEM 01LC; CHEM 001B with a grade of C- or better or CHEM 01HB with a grade of C- or better; CHEM 01LB with a grade of C- or better or CHEM 1HLB with a grade of C- or better or CHEM 002B with a grade of C- or better, CHEM 02LB with a grade of C- or better. An introduction to the basic principles of chemistry. Provides lectures either in person or in a virtual online environment, depending on section offerings.     Credit is awarded for one of the following  CHEM 001C,  CHEM 002C, or CHEM 01HC."
CHEM,002B,GENERAL CHEMISTRY FOR CHEMISTRY MAJORS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): concurrent enrollment in   CHEM 02LB; CHEM 002A with a grade of C- or better, CHEM 02LA with a grade of C- or better or CHEM 001A with a grade of C- or better, CHEM 01LA with a grade of C- or better or CHEM 01HA with a grade of C- or better, CHEM 01HLA with a grade of C- or better;  restricted to major(s) Chemistry. An introduction to the basic principles of chemistry focusing on the properties of liquids and gases as well as thermodynamics and kinetics of chemical reactions.     Credit is awarded for one of the following  CHEM 002B,  CHEM 001B, or CHEM 01HB."
CHEM,005,QUANTITATIVE ANALYSIS,"5 Units, Lecture, 3 hours; laboratory, 8 hours. Prerequisite(s): CHEM 001C with a grade of C- or better, CHEM 01LC with a grade of C- or better or CHEM 01HC with a grade of C- or better, CHEM 1HLC with a grade of C- or better or CHEM 002C with a grade of C- or better, CHEM 02LC with a grade of C- or better. Covers stoichiometric calculations and applications of principles of chemical equilibrium to analytical problems. Includes titrimetric and gravimetric laboratory procedures."
CHEM,008A,ORGANIC CHEMISTRY,"3 Units, Lecture, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 08LA; CHEM 001C with a grade of C- or better, CHEM 01LC with a grade of C- or better or CHEM 01HC with a grade of C- or better, CHEM 1HLC with a grade of C- or better or CHEM 002C with a grade of C- or better, CHEM 02LC with a grade of C- or better. Covers modern organic chemistry including hydrocarbon structure and nomenclature, stereochemistry, and reaction mechanisms.  Provides lectures either in person or in a virtual online environment, depending on section offerings.     Credit is awarded for one of the following  CHEM 008A or CHEM 08HA."
CHEM,008B,ORGANIC CHEMISTRY,"3 Units, Lecture, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 08LB; CHEM 008A with a grade of C- or better, CHEM 08LA with a grade of C- or better or CHEM 08HA with a grade of C- or better, CHEM 08HLA with a grade of C- or better. Covers modern organic chemistry including structural determination via spectroscopic analysis, reactivity, reaction mechanisms, and multistep organic synthesis.     Credit is awarded for one of the following  CHEM 008B or CHEM 08HB."
CHEM,01LA,GENERAL CHEMISTRY LABORATORY,"1 Unit, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in CHEM 001A; MATH 005A with a grade of C- or better or MATH 006A with a grade of C- or better or CHEM 001W with a grade of S or better or CHEM 001 with a grade of S or better or MATH 007A with a grade of C- or better or MATH 007B with a grade of C- or better or MATH 009A with a grade of C- or better or MATH 009B with a grade of C- or better or MATH 006B with a grade of C- or better or MATH 009C with a grade of C- or better; or a score of 3, 4, or 5 on the College Board Advanced Placement Chemistry Examination or Advanced Placement Calculus Examination or a passing score on the California Chemistry Diagnostic Test or a score on the Mathematics Advisory Exam sufficient for placement in MATH 007A or MATH 009A. An introduction to laboratory principles and techniques related to lecture topics in CHEM 001A. Credit is awarded for one of the following CHEM 01LA, CHEM 02LA, or CHEM 1HLA."
CHEM,01LB,GENERAL CHEMISTRY LABORATORY,"1 Unit, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 001B; CHEM 001A with a grade of C- or better or CHEM 01HA with a grade of C- or better or CHEM 01LA with a grade of C- or better or CHEM 1HLA with a grade of C- or better or CHEM 002A with a grade of C- or better or CHEM 02LA with a grade of C- or better. An introduction to laboratory principles and techniques related to lecture topics in CHEM 001B.     Credit is awarded for one of the following  CHEM 01LB,  CHEM 02LB, or CHEM 1HLB."
CHEM,01LC,GENERAL CHEMISTRY LABORATORY,"1 Unit, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 001C; CHEM 001B with a grade of C- or better or CHEM 01HB with a grade of C- or better or CHEM 002B; CHEM 01LB or CHEM 1HLB or CHEM 02LB. An introduction to laboratory principles and techniques related to lecture topics in CHEM 001C.     Credit is awarded for one of the following  CHEM 01LC,  CHEM 02LC, or CHEM 1HLC."
CHEM,02LB,GENERAL CHEMISTRY LABORATORY FOR CHEMISTRY MAJORS,"1 Unit, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 002B; CHEM 002A with a grade of C- or better, CHEM 02LA with a grade of C- or better or CHEM 001A with a grade of C- or better, CHEM 01LA with a grade of C- or better or CHEM 01HA with a grade of C- or better, CHEM 01HLA with a grade of C- or better or CHEM 002B with a grade of C- or better;  restricted to major(s) Chemistry. An introduction to laboratory principles and techniques related to lecture topics in CHEM 002B. Designed for Chemistry Majors.     Credit is awarded for one of the following  CHEM 02LB,  CHEM 01LB, or CHEM 1HLB."
CHEM,08HB,HONORS ORGANIC CHEMISTRY,"3 Units, Lecture, 3 hours. Prerequisite(s): concurrent enrollment in   CHEM 08HLB; CHEM 008A with a grade of B or better, CHEM 08LA with a grade of B or better or CHEM 08HA with a grade of B or better, CHEM 08HLA with a grade of B or better;  admission to University Honors;  or consent of instructor. Honors course corresponding to CHEM 008B.  Honors course that covers the principles of organic chemistry in greater depth than in CHEM 008B. Covers modern organic chemistry including structural determination via spectroscopic analysis, reactivity, reaction mechanisms and multistep organic synthesis.  Satisfactory(S) or No Credit(N/C) is not available.   Credit is awarded for one of the following  CHEM 08HB or CHEM 008B."
CHEM,08LA,ORGANIC CHEMISTRY LABORATORY,"1 Unit, Laboratory, 4 hours. Prerequisite(s): concurrent enrollment in   CHEM 008A; CHEM 001C with a grade of C- or better, CHEM 01LC with a grade of C- or better or CHEM 01HC with a grade of C- or better, CHEM 1HLC with a grade of C- or better or CHEM 002C with a grade of C- or better, CHEM 02LC with a grade of C- or better. An introduction to laboratory techniques of purification, isolation, synthesis, reactions, and spectroscopic analysis.     Credit is awarded for one of the following  CHEM 08LA or CHEM 08HLA."
CHEM,08LB,ORGANIC CHEMISTRY LABORATORY,"1 Unit, Laboratory, 4 hours. Prerequisite(s): CHEM 008A and CHEM 08LA or CHEM 08HA and CHEM 08HLA with grades of ""C-"" or better; concurrent enrollment in CHEM 008B or a grade of ""C-"" or better in CHEM 008B. An introduction to laboratory techniques of purification, isolation, synthesis, reactions, and spectroscopic analysis. Credit is awarded for only one of CHEM 08LB or CHEM 08HLB."
CHEM,097H,FRESHMAN HONORS PROJECT: INTRODUCTION TO RESEARCH,"1 to 4 Units, Research, 3 to 12 hours. Prerequisite(s): admission to University Honors. Prior arrangement with a chemistry faculty member is required An introduction to the methods of research in chemical sciences. The student conducts an investigation under the supervision of a faculty member. A written report is required at the end of the quarter. To satisfy the requirement for the University Honors Program Freshman Project, the student must earn a minimum of 4 units during the first year. Satisfactory (S) or No Credit (NC) grading is not available. Course is repeatable."
CHEM,110B,PHYSICAL CHEMISTRY: INTRODUCTION TO STATISTICAL MECHANICS AND KINETICS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHEM 110A with a grade of ""C-"" or better or consent of instructor; prior or concurrent enrollment in MATH 010B is recommended. Statistical mechanics, kinetic molecular theory, and chemical kinetics with applications to chemical systems."
CHEM,111,PHYSICAL CHEMISTRY LABORATORY,"4 Units, Lecture, 2 hours; laboratory, 8 hours. Prerequisite(s): CHEM 110A and CHEM 110B with grades of ""C-"" or better (CHEM 110B may be taken concurrently), or consent of instructor. CHEM 113 recommended. Physical chemical measurements and laboratory experiments illustrating fundamental principles of physical chemistry. Modern electronic and optical measurement techniques."
CHEM,143,CHEMICAL BIOLOGY,"3 Units, Lecture, 3 hours. Prerequisite(s): CHEM 008C and CHEM 08LC or CHEM 08HC and CHEM 08HLC. Discusses biochemical reactions from a chemical standpoint and presents how the principles of chemistry have been applied to address fundamental questions in life sciences."
CHEM,150A,INORGANIC CHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CHEM 008A with a grade of C- or better or CHEM 08HA with a grade of C- or better or CHEM 012A with a grade of C- or better or CHEM 12HA with a grade of C- or better; CHEM 08LA with a grade of C- or better or CHEM 8LHA with a grade of C- or better; CHEM 008B with a grade of C- or better or CHEM 08HB with a grade of C- or better or CHEM 012B with a grade of C- or better or CHEM 12HB with a grade of C- or better; CHEM 08LB with a grade of C- or better or CHEM 8LHB with a grade of C- or better. A systematic introduction to the synthesis, reactions, structure, and bonding of important classes of inorganic compounds. Emphasizes on non-transition metal chemistry."
CHEM,190,SPECIAL STUDIES,"1 to 5 Units, To be taken with the consent of the chair of the department as a means of meeting special curricular problems."
CHEM,197,RESEARCH FOR UNDERGRADUATES,"1 to 4 Units,  Research, 1 to 4 hours.  Prerequisite(s): sophomore or junior standing; consent of instructor. An introduction to the methods of research in chemistry. Includes a research project completed under the supervision of a Chemistry faculty member. Students who submit a written research report receive a letter grade; other students receive a Satisfactory (S) or No Credit (NC) grade. Course is repeatable to a maximum of 6 units."
